Time,Room,Value
12:00,1.5,0
12:00,1.6,40
12:00,1.7,35
12:00,1.8,30
12:00,1.9,40
12:00,1.10,5
12:00,1.11,30
12:00,1.12,35
12:00,1.13,30
12:00,1.14,35
12:00,1.15,30
12:00,1.16,5
12:00,1.17,30
12:00,1.18,5
12:00,bibliotheek,30
12:00,2.1,1
12:00,2.2,25
12:00,2.3,12
12:00,2.4,2
12:00,2.5,30
12:00,2.6,40
12:00,2.7,35
12:00,2.8,30
12:00,2.9,0
12:00,2.10,35
12:00,2.11,30
12:00,2.12,35
12:00,2.13,30
12:00,2.14,3
12:00,2.15,30
12:00,2.16,3
12:00,2.17,30
12:00,2.18,3
12:00,bibliotheek,30
13:00,0.1,1
13:00,0.2,25
13:00,0.3,12
13:00,0.4,22
13:00,0.5,30
13:00,0.6,40
13:00,0.7,3
13:00,0.8,30
13:00,0.9,40
13:00,0.10,5
13:00,0.11,30
13:00,0.12,35
13:00,0.13,0
13:00,0.14,35
13:00,0.15,30
13:00,0.16,5
13:00,0.17,30
13:00,0.18,5
13:00,bibliotheek,30
13:00,1.1,1
13:00,1.2,25
13:00,1.3,2
13:00,1.4,22
13:00,1.5,30
13:00,1.6,40
13:00,1.7,35
13:00,1.8,0
13:00,1.9,40
13:00,1.10,35
13:00,1.11,30
13:00,1.12,5
13:00,1.13,30
13:00,1.14,35
13:00,1.15,30
13:00,1.16,5
13:00,1.17,30
13:00,1.18,5
13:00,bibliotheek,30
13:00,2.1,1
13:00,2.2,25
13:00,2.3,12
13:00,2.4,2
13:00,2.5,30
13:00,2.6,40
13:00,2.7,35
13:00,2.8,30
13:00,2.9,40
13:00,2.10,35
13:00,2.11,30
13:00,2.12,5
13:00,2.13,30
13:00,2.14,35
13:00,2.15,0
13:00,2.16,35
13:00,2.17,30
13:00,2.18,35
13:00,bibliotheek,30
14:00,0.1,1
14:00,0.2,25
14:00,0.3,2
14:00,0.4,22
14:00,0.5,30
14:00,0.6,40
14:00,0.7,35
14:00,0.8,3
14:00,0.9,40
14:00,0.10,35
14:00,0.11,30
14:00,0.12,35
14:00,0.13,0
14:00,0.14,35
14:00,0.15,30
14:00,0.16,35
14:00,0.17,30
14:00,0.18,5
14:00,bibliotheek,30
14:00,1.1,1
14:00,1.2,25
14:00,1.3,12
14:00,1.4,2
14:00,1.5,30
14:00,1.6,40
14:00,1.7,35
14:00,1.8,30
14:00,1.9,0
14:00,1.10,35
14:00,1.11,30
14:00,1.12,35
14:00,1.13,0
14:00,1.14,35
14:00,1.15,30
14:00,1.16,5
14:00,1.17,30
14:00,1.18,5
14:00,bibliotheek,30
14:00,2.1,1
14:00,2.2,5
14:00,2.3,12
14:00,2.4,22
14:00,2.5,30
14:00,2.6,40
14:00,2.7,35
14:00,2.8,0
14:00,2.9,40
14:00,2.10,5
14:00,2.11,30
14:00,2.12,5
14:00,2.13,30
14:00,2.14,5
14:00,2.15,30
14:00,2.16,5
14:00,2.17,30
14:00,2.18,5
14:00,bibliotheek,30
15:00,0.1,1
15:00,0.2,2
15:00,0.3,12
15:00,0.4,2
15:00,0.5,30
15:00,0.6,4
15:00,0.7,35
15:00,0.8,3
15:00,0.9,40
15:00,0.10,3
15:00,0.11,0
15:00,0.12,35
15:00,0.13,30
15:00,0.14,35
15:00,0.15,30
15:00,0.16,5
15:00,0.17,30
15:00,0.18,5
15:00,bibliotheek,30
15:00,1.1,1
15:00,1.2,25
15:00,1.3,12
15:00,1.4,2
15:00,1.5,30
15:00,1.6,40
15:00,1.7,3
15:00,1.8,3
15:00,1.9,4
15:00,1.10,35
15:00,1.11,30
15:00,1.12,35
15:00,1.13,30
15:00,1.14,3
15:00,1.15,30
15:00,1.16,35
15:00,1.17,3
15:00,1.18,35
15:00,bibliotheek,30
15:00,2.1,1
15:00,2.2,25
15:00,2.3,1
15:00,2.4,22
15:00,2.5,30
15:00,2.6,40
15:00,2.7,5
15:00,2.8,30
15:00,2.9,40
15:00,2.10,35
15:00,2.11,30
15:00,2.12,35
15:00,2.13,30
15:00,2.14,5
15:00,2.15,0
15:00,2.16,5
15:00,2.17,30
15:00,2.18,5
15:00,bibliotheek,30
16:00,0.1,1
16:00,0.2,25
16:00,0.3,12
16:00,0.4,22
16:00,0.5,0
16:00,0.6,40
16:00,0.7,35
16:00,0.8,30
16:00,0.9,40
16:00,0.10,5
16:00,0.11,30
16:00,0.12,35
16:00,0.13,0
16:00,0.14,35
16:00,0.15,30
16:00,0.16,5
16:00,0.17,30
16:00,0.18,5
16:00,bibliotheek,30
16:00,1.1,1
16:00,1.2,25
16:00,1.3,12
16:00,1.4,22
16:00,1.5,0
16:00,1.6,40
16:00,1.7,35
16:00,1.8,30
16:00,1.9,40
16:00,1.10,3
16:00,1.11,3
16:00,1.12,35
16:00,1.13,30
16:00,1.14,35
16:00,1.15,3
16:00,1.16,35
16:00,1.17,3
16:00,1.18,35
16:00,bibliotheek,30
16:00,2.1,1
16:00,2.2,25
16:00,2.3,12
16:00,2.4,2
16:00,2.5,30
16:00,2.6,40
16:00,2.7,35
16:00,2.8,30
16:00,2.9,40
16:00,2.10,5
16:00,2.11,30
16:00,2.12,35
16:00,2.13,3
16:00,2.14,35
16:00,2.15,3
16:00,2.16,35
16:00,2.17,3
16:00,2.18,3
16:00,bibliotheek,30
17:00,0.1,1
17:00,0.2,25
17:00,0.3,12
17:00,0.4,22
17:00,0.5,30
17:00,0.6,40
17:00,0.7,3
17:00,0.8,3
17:00,0.9,40
17:00,0.10,3
17:00,0.11,30
17:00,0.12,35
17:00,0.13,3
17:00,0.14,35
17:00,0.15,3
17:00,0.16,35
17:00,0.17,3
17:00,0.18,35
17:00,bibliotheek,30
17:00,1.1,1
17:00,1.2,25
17:00,1.3,12
17:00,1.4,2
17:00,1.5,3
17:00,1.6,40
17:00,1.7,3
17:00,1.8,30
17:00,1.9,40
17:00,1.10,35
17:00,1.11,3
17:00,1.12,3
17:00,1.13,30
17:00,1.14,35
17:00,1.15,3
17:00,1.16,35
17:00,1.17,30
17:00,1.18,3
17:00,bibliotheek,30
17:00,2.1,1
17:00,2.2,25
17:00,2.3,12
17:00,2.4,22
17:00,2.5,3
17:00,2.6,40
17:00,2.7,3
17:00,2.8,30
17:00,2.9,40
17:00,2.10,3
17:00,2.11,30
17:00,2.12,35
17:00,2.13,30
17:00,2.14,35
17:00,2.15,30
17:00,2.16,35
17:00,2.17,3
17:00,2.18,35
17:00,bibliotheek,30
